time(ms)	OriginalData	FilteredData
0.3336	-0.34022	0
1.036	-3.64354	0
1.9734	-0.272835	0
2.9474	0.416151	0
3.9452	-3.60399	0
4.9451	-1.03189	0
5.944	-2.24091	0
6.9456	3.73486	0
7.9442	-2.85128	0
8.941	3.72387	0
9.9468	-2.97116	0
10.9395	-2.41719	0
11.9493	-0.163701	0
12.9391	-2.64254	0
13.9456	3.86767	0
14.9791	3.36082	0
15.9412	-0.926908	0
16.9452	-0.42494	0
17.935	0.507706	0
18.9651	2.32856	0
19.9449	-0.791406	0
20.9497	-3.05686	0
21.9467	0.407605	0
22.957	-1.36955	0
23.9447	2.25141	0
24.9509	0.111454	0
25.9403	-2.40718	0
26.9477	0.272103	0
27.9638	1.93793	0
28.9445	2.60811	0
29.9482	3.26218	0
30.9467	2.30171	0
31.9484	3.1904	0
32.9543	-0.532121	0
33.9501	-1.09024	0
34.9415	-3.55663	0
35.9463	2.21503	0
36.9401	3.9353	0
37.9552	-0.787011	0
38.9413	3.43455	0
39.9483	2.49165	0
40.9547	-3.50414	0
41.9854	-2.06391	0
42.9468	0.315073	0
43.9496	1.90374	0
44.9564	0.488906	0
45.9392	-1.90179	0
46.9506	2.9216	0
47.9441	2.25825	0
48.9541	2.54341	0
49.9419	3.65893	0
50.9495	-0.166875	0
51.95	0.447157	0
52.9495	0.0963163	0
53.979	-2.03265	0
54.9759	-1.97992	0
55.9608	-3.50023	0
56.9504	-1.76336	0
57.9438	2.22968	0
58.9513	-3.55174	0
59.9509	1.7741	0
60.9509	-1.87127	0
61.9508	-0.76162	0
62.9489	3.88305	0
63.9503	2.53999	0
64.9556	-0.737693	0
65.9432	-0.378551	0
67.0593	-2.85177	0
67.9548	-1.79632	0
68.9478	1.78265	0
69.9518	3.85376	0
70.9515	0.0892363	0
71.9489	-2.57833	0
72.9567	-0.853175	0
73.9451	1.28532	0
74.9536	3.48704	0
75.9518	3.35472	0
76.9531	3.36033	0
77.9807	-0.564104	0
78.9513	2.17646	0
79.9528	-0.685934	0
80.9725	-2.96091	0
81.9862	0.805079	0
82.9534	-2.38227	0
83.9541	-1.95184	0
85.0945	-1.44743	0
86.1748	0.445448	0
87.0139	2.17109	0
88.0005	-2.08148	0
88.9981	-1.50822	0
89.9635	1.55535	0
90.9615	-2.67647	0
91.961	-2.78292	0
92.9828	1.71892	0
93.9796	2.33467	0
95.0118	2.12055	0
95.9509	-2.12519	0
96.9661	-2.75851	0
97.9494	-0.643208	0
98.9558	-3.95166	0
99.9764	-2.19013	0
100.953	2.16865	0
101.949	0.706442	0
102.956	-3.37693	0
103.955	-0.832423	0
104.987	1.99091	0
105.987	-1.86712	0
106.964	3.9292	0
107.958	-0.301401	0
108.958	-2.55733	0
109.957	3.46898	0
110.99	0.361705	0
111.953	2.53218	0
112.968	-3.8103	0
113.95	2.56563	0
114.959	-2.17475	0
115.956	3.58422	0
116.955	-0.404675	0
117.958	3.99194	0
119.007	0.631733	0
119.953	-0.138798	0
120.986	-1.184	0
121.986	3.7517	0
122.959	-3.64769	0
123.962	1.90228	0
124.96	-1.52605	0
125.956	3.26365	0
126.96	2.87521	0
127.959	-2.38911	0
128.968	2.15766	0
129.957	-2.14032	0
130.961	3.91162	0
131.956	2.73092	0
132.998	2.0014	0
133.966	1.04678	0
134.992	1.21012	0
135.958	1.20768	0
136.974	2.59273	0
137.957	-2.2143	0
138.961	-0.278939	0
139.96	-1.30436	0
140.96	1.45695	0
141.961	-3.96533	0
142.96	1.96356	0
143.997	0.453017	0
144.998	-3.62816	0
145.962	-2.19086	0
146.968	3.84838	0
147.996	0.876858	0
148.958	-2.24213	0
149.962	3.00754	0
150.962	-3.79931	0
151.962	3.93115	0
152.971	-3.60106	0
153.954	3.25022	0
154.982	-3.76	0
155.959	1.7138	0
156.963	0.739891	0
157.962	-1.01163	0
158.963	1.25822	0
159.963	2.4145	0
160.973	-1.98773	0
161.961	-2.8757	0
162.956	0.755028	0
163.964	2.91354	0
164.963	1.43937	0
166.008	-1.59978	0
166.991	3.2739	0
167.966	-2.72945	0
168.963	-2.23359	0
169.967	3.80053	0
170.966	-1.80682	0
171.956	-3.64452	0
172.964	-2.62642	0
173.989	1.22135	0
174.998	0.718406	0
175.959	-2.13202	0
177	1.21256	0
177.963	1.65569	0
178.974	-3.67113	0
179.957	1.99872	0
180.966	-1.17667	0
181.966	-1.8576	0
182.964	-3.07273	0
183.965	3.98193	0
184.961	3.67992	0
186.004	-3.26756	0
186.966	0.941801	0
187.997	2.78683	0
188.968	0.11243	0
189.96	0.72158	0
190.967	-2.3686	0
191.966	-2.79879	0
192.968	0.0579853	0
193.967	1.39494	0
194.967	-0.153691	0
195.965	0.555315	0
196.967	3.89062	0
197.99	0.541887	0
199.004	-2.51192	0
199.965	-2.665	0
200.974	-0.422987	0
201.967	-2.01654	0
202.96	-0.0743432	0
203.967	0.937895	0
204.967	2.41353	0
205.968	1.36686	0
207.017	3.61278	0
207.967	-0.182012	0
208.968	-2.41157	0
209.993	-0.526261	0
210.965	-2.83956	0
212.013	-0.727927	0
212.977	3.82495	0
213.979	-3.70287	0
215.023	0.110233	0
215.976	2.11689	0
216.981	0.348277	0
217.978	-0.869289	0
218.979	-0.337535	0
219.978	-0.494278	0
221.044	-0.562883	0
221.975	1.92621	0
222.994	-2.39399	0
223.988	-0.862697	0
225.022	-1.20377	0
225.98	1.16544	0
227.009	-0.296518	0
227.981	2.10346	0
228.985	0.013062	0
229.981	-2.50288	0
230.996	-0.223274	0
232.018	3.62938	0
233.033	3.33836	0
