time(ms)	OriginalData	FilteredData
0.517	-3.08347	0
13.5274	-0.255257	0
14.3478	2.01581	0
15.2902	2.40107	0
16.3112	1.257	0
17.2987	-0.162481	0
18.3546	-2.90011	0
19.3463	-1.04678	0
20.39	2.51387	0
21.3518	-1.65862	0
22.3418	-2.2812	0
23.3365	-0.1554	0
24.3204	2.17304	0
25.3227	0.630268	0
26.3411	2.25556	0
27.356	2.41499	0
28.3208	2.74972	0
29.2984	3.55394	0
30.299	2.97751	0
31.2952	-2.58785	0
32.2939	-2.65304	0
33.3077	-0.241096	0
34.2952	-1.92694	0
35.4095	1.88421	0
36.358	-0.0174565	0
37.435	3.71386	0
38.4545	2.57881	0
39.3473	-0.601947	0
40.3179	1.92743	0
41.345	3.68603	0
42.3195	1.44548	0
43.407	-2.16205	0
44.3311	-0.686178	0
45.3287	3.92261	0
46.3206	-0.00183105	0
47.316	3.03146	0
48.3483	1.25773	0
49.3148	-2.71505	0
50.3143	3.03293	0
51.3477	-1.54729	0
52.2953	3.74487	0
53.3967	0.584368	0
54.3042	-2.1933	0
55.3858	1.25675	0
56.3242	-1.46501	0
57.2956	0.872463	0
58.3185	-3.83251	0
59.3175	-3.11277	0
60.3018	2.33174	0
61.2935	0.935453	0
62.3121	3.07541	0
63.3018	-1.48357	0
64.2985	-0.535295	0
65.3023	-3.76171	0
66.3064	-1.2382	0
67.296	1.56194	0
68.2946	-0.657125	0
69.3118	-0.423475	0
70.3609	1.78314	0
71.4271	-0.469375	0
72.4154	-2.08271	0
73.3635	1.67718	0
74.4042	-3.78784	0
75.4207	-0.558	0
76.4256	-3.58495	0
77.3309	0.00427246	0
78.3276	-1.77825	0
79.3275	3.07907	0
80.3253	2.58467	0
81.3319	0.0196538	0
82.3943	-2.69234	0
83.3775	-3.68285	0
84.3517	-0.290414	0
85.33	1.142	0
86.3261	-0.596576	0
87.4926	0.782128	0
88.4103	0.636128	0
89.3862	-0.33607	0
90.3279	3.13523	0
91.3108	-1.91571	0
92.3766	-3.93237	0
93.4062	-3.12986	0
94.3492	0.466201	0
95.3454	-3.11716	0
96.3404	2.37471	0
97.3448	-3.3928	0
98.3471	0.984771	0
99.3431	-2.97262	0
100.312	2.1684	0
101.312	-3.44041	0
102.308	3.07981	0
103.409	1.02725	0
104.396	-1.1066	0
105.385	-2.52364	0
106.377	-0.742332	0
107.372	3.09983	0
108.362	2.68307	0
109.34	2.60152	0
110.364	2.8525	0
111.332	2.04584	0
112.506	0.732078	0
113.334	-0.441298	0
114.32	-0.628071	0
115.318	0.204474	0
116.346	1.43327	0
117.314	0.937895	0
118.505	1.73821	0
119.457	2.73507	0
120.45	-2.46773	0
121.389	-0.165166	0
122.452	0.667623	0
123.348	3.47679	0
124.338	1.54582	0
125.337	-3.40526	0
126.322	-2.55928	0
127.328	3.63842	0
128.356	-1.30461	0
129.332	1.0087	0
130.312	-1.68572	0
131.327	1.56389	0
132.333	2.60933	0
133.332	-1.78802	0
134.33	-2.17817	0
135.334	-0.172491	0
136.332	3.03684	0
137.393	-1.46135	0
138.346	-1.78289	0
139.376	-0.0928984	0
140.355	-1.16935	0
141.413	-0.424695	0
142.357	-3.69384	0
143.351	-1.31608	0
144.336	1.44377	0
145.324	-3.32981	0
146.351	0.922513	0
147.322	-2.97702	0
148.32	2.1916	0
149.359	-1.85369	0
150.345	-3.71117	0
151.316	2.67989	0
152.315	-3.46922	0
153.442	-2.53487	0
154.423	2.52486	0
155.452	-2.21479	0
156.368	2.60372	0
157.392	2.59566	0
158.382	-3.4597	0
159.35	-2.84054	0
160.348	-0.703513	0
161.324	2.83468	0
162.348	-3.42747	0
163.318	-0.295785	0
164.327	1.06607	0
165.322	-2.66768	0
166.317	1.61345	0
167.319	-0.879299	0
168.316	2.7795	0
169.319	-2.43062	0
170.518	0.975005	0
171.441	0.209357	0
172.386	3.82104	0
173.327	0.0369883	0
174.326	1.24943	0
175.322	-1.00479	0
176.32	-3.28587	0
177.32	1.3715	0
178.32	-2.0932	0
179.318	0.931303	0
180.322	1.50969	0
181.328	-3.80932	0
182.322	-1.21549	0
183.316	3.43138	0
184.319	-0.811914	0
185.318	-2.11518	0
186.319	2.71676	0
187.429	0.980621	0
188.4	-2.67086	0
189.379	-1.39128	0
190.422	0.555803	0
191.355	3.07395	0
192.356	1.29728	0
193.349	-3.27219	0
194.324	-2.16791	0
195.331	3.23191	0
196.32	-3.81103	0
197.345	-0.0303965	0
198.347	-1.69256	0
199.346	1.34635	0
200.347	0.802881	0
201.342	-3.47679	0
202.351	3.66601	0
203.395	1.60295	0
204.439	2.86666	0
205.377	2.34809	0
206.366	0.597552	0
207.385	0.231575	0
208.336	-3.21287	0
209.333	0.930082	0
210.346	-1.47795	0
211.35	-2.66329	0
212.354	-2.83712	0
213.372	3.74535	0
214.353	1.20328	0
215.355	-0.94644	0
216.347	1.31046	0
217.348	-0.325572	0
218.347	-0.496964	0
219.346	-3.71679	0
220.422	-1.93939	0
221.391	-2.37959	0
222.389	-3.47191	0
223.357	-1.74212	0
224.365	-3.93384	0
225.5	2.58126	0
226.366	0.415174	0
227.327	3.18015	0
228.327	0.879055	0
229.329	1.42228	0
230.33	-3.99219	0
231.325	0.193975	0
232.336	2.03851	0
233.335	-1.39445	0
234.398	-1.32511	0
235.332	-3.06735	0
236.335	3.4304	0
237.368	2.11982	0
238.335	1.51677	0
239.364	-1.10489	0
240.384	-1.84271	0
241.378	-0.136357	0
242.377	-0.784326	0
243.395	-1.10172	0
244.368	1.17667	0
245.355	2.7336	0
246.359	3.77392	0
247.354	-1.13883	0
248.351	0.954985	0
249.407	2.66353	0
250.387	3.39354	0
251.342	2.16449	0
252.337	-0.614643	0
253.648	1.86761	0
254.403	3.74853	0
255.426	-1.16129	0
256.396	1.2233	0
257.366	1.53703	0
258.359	-1.10636	0
259.355	1.83196	0
260.358	2.28584	0
261.347	2.23969	0
262.338	3.06833	0
263.342	-3.39744	0
264.358	-2.33174	0
265.337	0.27137	0
266.334	-1.36345	0
267.331	-1.70501	0
268.334	3.22556	0
269.355	0.213508	0
270.427	3.42357	0
271.426	-1.26237	0
272.459	-0.431776	0
273.391	3.9397	0
274.401	0.684713	0
275.369	-2.47627	0
276.337	-0.173467	0
277.345	-3.67064	0
278.342	-1.02554	0
279.339	3.41893	0
280.339	-1.57195	0
281.339	-0.0677512	0
282.338	-2.85226	0
283.418	0.344371	0
284.338	2.14179	0
285.336	2.8359	0
286.341	1.75774	0
287.357	-3.80663	0
288.393	-3.36326	0
289.369	-0.0120854	0
290.365	0.0902128	0
291.38	-3.27952	0
292.358	1.81024	0
293.346	0.220099	0
294.36	-3.90844	0
295.354	-1.23746	0
296.345	-2.87619	0
297.419	-0.774316	0
298.387	-3.56395	0
299.363	-2.96481	0
300.363	-1.78533	0
301.364	2.74044	0
302.365	-2.01703	0
303.417	2.76119	0
304.446	2.01459	0
305.414	-3.82421	0
306.41	-0.123417	0
307.4	-3.62841	0
308.369	1.63787	0
309.35	0.956694	0
310.395	3.53417	0
311.354	-3.45946	0
312.418	-3.71361	0
313.378	1.81072	0
314.354	-0.224006	0
315.371	-0.206183	0
316.346	-2.58296	0
317.344	-2.73824	0
318.344	2.34712	0
319.342	-3.05124	0
320.408	-3.57347	0
321.388	-2.42378	0
322.418	-0.923246	0
323.372	-3.37059	0
324.379	-0.897855	0
325.354	-1.58733	0
326.433	-0.0682395	0
327.344	-1.88763	0
328.43	-3.91333	0
329.37	2.42378	0
330.379	-2.79244	0
331.376	3.7495	0
332.396	-1.38908	0
333.374	-2.93796	0
334.366	1.11222	0
335.371	-2.78243	0
336.368	0.740135	0
337.381	0.839747	0
338.391	-2.01141	0
339.37	1.85003	0
340.348	-2.61422	0
341.347	-1.71062	0
342.375	2.43086	0
343.441	1.29118	0
344.374	-0.663228	0
345.358	3.87939	0
346.35	2.53755	0
347.354	-3.26634	0
348.347	-1.45012	0
349.349	3.13205	0
350.345	1.5573	0
351.345	-1.01822	0
352.346	0.961577	0
353.428	3.19504	0
354.45	3.176	0
355.485	-2.4084	0
356.441	0.062624	0
357.385	-2.88375	0
358.411	-0.307504	0
359.384	1.3422	0
360.38	0.488662	0
361.378	2.07025	0
362.377	2.33638	0
363.372	0.282845	0
364.374	-3.12278	0
365.374	-0.210334	0
366.361	-3.02365	0
367.362	-0.391003	0
368.355	1.23893	0
369.363	3.44896	0
370.443	0.46791	0
371.411	-0.38319	0
372.493	0.0960722	0
373.401	-0.748924	0
374.498	-3.10666	0
375.395	-0.0152593	0
376.42	-1.36442	0
377.393	2.96774	0
378.369	0.942045	0
379.359	-1.3654	0
380.355	1.1276	0
381.363	3.68236	0
382.363	3.67943	0
383.442	-0.580462	0
384.416	-3.13938	0
385.437	2.98654	0
386.447	-0.0404065	0
387.493	-1.10978	0
388.521	0.841456	0
389.429	1.87957	0
390.43	-3.27342	0
391.369	-1.60906	0
392.438	2.51119	0
393.414	-0.379528	0
394.374	1.45695	0
395.375	3.73144	0
396.401	-0.273812	0
397.387	0.78457	0
398.419	1.99188	0
399.383	2.68722	0
400.395	3.25559	0
401.394	-1.22916	0
402.4	1.01187	0
403.463	2.58052	0
404.469	-2.95602	0
405.438	-3.98437	0
406.41	-3.5996	0
407.4	-1.8139	0
408.416	3.48973	0
409.429	-2.84396	0
410.385	2.74972	0
411.376	0.21717	0
412.392	-1.01163	0
413.391	3.39964	0
414.383	-2.74532	0
415.384	2.63863	0
416.385	-3.00681	0
417.38	0.343394	0
418.381	-2.74972	0
419.384	3.05881	0
420.449	3.83959	0
421.463	-0.498428	0
422.468	0.638569	0
423.376	2.44868	0
424.446	-3.41429	0
425.48	-2.2204	0
426.415	-3.54588	0
427.369	2.44063	0
