time(ms)	OriginalData	FilteredData
5148.88	-1.53191	-1.4673
5149.7	1.62517	1.65855
5150.67	-3.40428	-3.32115
5151.64	2.52657	2.55103
5152.64	3.70141	3.71425
5153.67	-3.21213	-3.13091
5154.64	-0.840236	-0.782469
5155.64	0.755272	0.797257
5156.64	1.01968	1.05905
5157.64	-0.476943	-0.42277
5158.64	-1.22575	-1.16417
5159.63	2.77853	2.8005
5160.64	-0.635395	-0.579654
5161.64	2.19697	2.22469
5162.64	-3.23313	-3.1517
5163.64	1.33634	1.37258
5164.63	2.34858	2.37481
5165.64	-3.52318	-3.43887
5166.7	-1.37736	-1.31428
5167.64	2.50996	2.53459
5168.64	0.121464	0.169718
5169.64	-1.2714	-1.20937
5170.63	-1.20377	-1.14241
5171.64	0.281869	0.328537
5172.64	2.69381	2.71662
5173.63	-0.94937	-0.890523
5174.63	2.60494	2.62863
5175.64	-0.139531	-0.0886946
5176.64	-1.04068	-0.980931
5177.64	-2.7983	-2.72117
5178.64	3.44774	3.46309
5179.65	-0.978667	-0.919531
5180.67	1.67425	1.70714
5181.64	-3.33152	-3.24911
5182.64	-2.39644	-2.32328
5183.64	0.713035	0.755438
5184.64	-1.36345	-1.3005
5185.64	0.122929	0.171169
5186.64	2.85714	2.87834
5187.65	-1.82025	-1.75279
5188.63	2.32026	2.34677
5189.64	-2.47847	-2.4045
5190.63	3.20237	3.22015
5191.65	-2.15058	-2.07985
5192.63	2.21284	2.2404
5193.68	-1.9057	-1.83739
5194.64	1.87518	1.90609
5195.65	-2.76461	-2.68781
5196.63	-3.89599	-3.808
5197.64	1.47429	1.50916
5198.64	0.964751	1.00466
5199.64	-0.892239	-0.833958
5200.64	0.580706	0.624418
5201.65	-0.78164	-0.724452
5202.64	1.85052	1.88167
5203.64	3.17527	3.19332
5204.64	0.971587	1.01143
5205.65	-2.03119	-1.96164
5206.71	-3.28123	-3.19932
5207.64	0.537492	0.581631
5208.64	-3.00241	-2.92326
5209.64	3.50487	3.51966
5210.65	-2.59102	-2.51594
5211.65	0.150273	0.198243
5212.64	0.374157	0.419912
5213.65	-3.06589	-2.98611
5214.64	-0.164678	-0.113593
5215.64	0.556536	0.600487
5216.64	-3.38377	-3.30084
5217.68	2.27754	2.30446
5218.64	2.23749	2.26482
5219.65	0.133915	0.182047
5220.64	-0.701315	-0.644922
5221.64	-3.30979	-3.2276
5222.64	-0.489639	-0.43534
5223.65	-0.892727	-0.834441
5224.65	1.01602	1.05543
5225.64	2.57906	2.603
5226.65	-0.138066	-0.087244
5227.65	-1.42326	-1.35973
5228.64	-2.70064	-2.62448
5229.65	0.854885	0.895885
5230.64	2.0473	2.07651
5231.65	-2.18744	-2.11635
5232.66	-0.265999	-0.213912
