time(ms)	OriginalData	FilteredData
10416.7	2.65414	2.65414
10417.5	2.76742	2.71078
10418.5	-0.6231	1.59949
10419.4	0.664337	1.3657
10420.5	2.86302	1.66516
10421.4	1.15737	1.58053
10422.5	-0.316626	1.30951
10423.5	0.932694	1.26241
10424.4	0.827565	1.21409
10425.5	1.1294	1.20562
10426.5	0.811297	1.16977
10427.5	-0.34988	1.04314
10428.5	-0.177678	0.949227
10429.5	-0.50516	0.845342
10430.5	2.42243	0.950481
10431.5	1.54323	0.987528
10432.5	0.528489	0.960526
10433.5	-0.373485	0.886414
10434.5	0.150211	0.847666
10435.5	0.456461	0.828106
10436.5	1.18066	0.844894
10437.5	1.5181	0.875495
10438.5	-0.0781459	0.834032
10439.5	-1.11654	0.752758
10440.5	-0.528577	0.701505
10441.5	2.56981	0.773363
10442.5	0.10184	0.748491
10443.4	0.0383325	0.723129
10444.5	0.839692	0.727148
10445.4	-0.774944	0.677078
10446.5	-0.920446	0.625545
10447.5	-0.410559	0.593167
10448.4	-0.23457	0.568084
10449.5	1.58536	0.598004
10450.5	-0.0706627	0.578899
10451.5	2.1849	0.623511
10452.5	-1.30179	0.571475
10453.5	-0.87592	0.533386
10454.4	1.76277	0.564909
10455.5	1.88915	0.598014
10456.5	-0.756798	0.56497
10457.5	1.62986	0.590325
10458.5	1.40424	0.609253
10459.5	-0.339401	0.587693
10460.5	2.22982	0.624184
10461.5	1.49899	0.643202
10462.5	-0.989601	0.608461
10463.5	0.993238	0.616478
10464.5	-0.711676	0.589372
10465.5	1.50612	0.607707
10466.5	-0.74035	0.539818
10467.5	-1.15426	0.461384
10468.5	0.560173	0.485049
10469.5	2.17559	0.515274
10470.5	1.7377	0.492768
10471.5	0.986561	0.489352
10472.5	1.16402	0.518965
10473.5	0.879051	0.517892
10474.5	0.143004	0.504201
10475.5	-1.12347	0.459144
10476.5	-0.953385	0.42385
10477.5	0.786191	0.446571
10478.5	-0.0619691	0.448886
10479.5	1.21749	0.483339
10480.5	-1.15918	0.411706
10481.5	1.79059	0.416653
10482.5	2.06974	0.447479
10483.5	1.28684	0.480685
10484.5	-1.64445	0.444792
10485.5	-0.463317	0.426396
10486.5	-1.61344	0.370514
10487.5	1.18967	0.363946
10488.5	0.325188	0.372012
10489.5	0.675821	0.40786
10490.5	-1.62451	0.385941
10491.5	-1.85276	0.29749
10492.5	2.04032	0.336259
10493.5	0.470835	0.344909
10494.5	0.843541	0.344986
10495.5	-0.0483215	0.359519
10496.5	1.48713	0.40767
10497.5	-1.12109	0.39346
10498.5	-1.82961	0.361559
10499.5	-1.2926	0.304
10500.5	0.619569	0.317804
10501.5	1.23629	0.298832
10502.5	-1.24315	0.300005
10503.5	-2.01124	0.277298
10504.5	0.388618	0.249815
10505.7	-0.331979	0.205393
10506.7	-0.708324	0.206362
10507.5	-1.46456	0.144474
10508.5	0.15562	0.119502
10509.5	1.35074	0.153305
10510.5	0.465973	0.118028
10511.5	1.6124	0.120296
10512.5	0.111775	0.142323
10513.5	-0.248793	0.117483
10514.5	1.75632	0.166843
10515.5	-0.841244	0.119895
10516.5	-0.66784	0.121346
10517.5	-1.03326	0.123765
10518.5	0.904005	0.130642
10519.5	-2.14886	0.0441531
10520.5	0.0865294	0.0111296
10521.5	-0.707704	-0.0227557
10522.5	1.7146	-0.0117441
10523.5	-1.7949	-0.0652232
10524.5	-0.967229	-0.0874278
10525.5	-1.86189	-0.102196
10526.5	-0.19798	-0.0870881
10527.5	-0.158012	-0.105972
10528.5	-0.0806772	-0.106346
10529.5	-1.57393	-0.162175
10530.5	-2.09632	-0.180917
10531.5	-1.95693	-0.255868
10532.5	0.418874	-0.288885
10533.5	-1.41515	-0.342925
10534.5	0.391084	-0.302215
10535.5	-1.27982	-0.318545
10536.5	-0.278872	-0.291853
10537.5	0.274326	-0.31016
10538.5	-1.40006	-0.344665
10539.5	0.922511	-0.339731
10540.5	-0.492313	-0.317087
10541.5	-0.040728	-0.280847
10542.5	0.606318	-0.309527
10543.5	-1.99	-0.358744
10544.5	0.93511	-0.356912
10545.5	0.461213	-0.346722
10546.5	1.07258	-0.355013
10547.5	-1.38523	-0.360295
10548.5	-1.74955	-0.358694
10549.5	0.611319	-0.320616
10550.5	0.789167	-0.317224
10551.5	-1.48409	-0.371631
10552.5	-0.334723	-0.353463
10553.5	-0.870934	-0.330657
10554.5	-0.463609	-0.347701
10555.5	0.554601	-0.32997
10556.5	0.111122	-0.313581
10557.5	-1.14583	-0.307206
10558.5	-0.10874	-0.312493
10559.5	-2.28766	-0.385261
10560.5	0.50442	-0.384492
10561.5	-0.546359	-0.427668
10562.5	-2.39486	-0.4778
10563.5	0.479343	-0.463238
10564.5	-1.85679	-0.5355
10565.5	0.730606	-0.504063
10566.5	0.176942	-0.487167
10567.5	-0.364849	-0.473799
10568.5	-1.13806	-0.51464
10569.5	0.660251	-0.458458
10570.5	-2.75494	-0.515287
10571.5	-2.42963	-0.549726
10572.5	-0.430777	-0.592633
10573.5	-1.72276	-0.59119
10574.5	0.42693	-0.563307
10575.5	-0.728624	-0.540642
10576.5	-0.207211	-0.540827
10577.5	-2.46099	-0.586886
10578.5	0.226941	-0.580734
10579.5	0.0937805	-0.54738
10580.5	-1.14192	-0.528292
10581.5	-1.70848	-0.523323
10582.5	-2.35913	-0.578883
10583.5	-2.54926	-0.601565
10584.5	-2.67552	-0.662897
10585.5	-1.53924	-0.668085
10586.5	-1.91982	-0.700904
10587.5	-0.459725	-0.715585
10588.5	-0.696417	-0.701513
10589.5	-2.40357	-0.768034
10590.5	-2.75884	-0.813365
10591.5	-1.76429	-0.847836
10592.5	-1.71382	-0.894239
10593.5	-2.10777	-0.896594
10594.5	-1.45441	-0.944385
10595.5	-0.733259	-0.968274
10596.5	-0.898074	-1.00769
10597.5	0.806842	-0.963845
10598.5	-0.224608	-0.933347
10599.5	0.812532	-0.929322
