time(ms)	OriginalData	FilteredData
0.3126	-2.35688	0
1.028	-1.84198	0
1.9866	1.38469	0
2.9949	3.30882	0
3.9935	0.971343	0
4.9968	-1.0607	0
5.9873	0.383435	0
6.9895	-2.63741	0
7.9857	-3.57543	0
8.9933	3.43846	0
9.9882	3.19968	0
11.0289	-2.69869	0
11.9917	-0.538469	0
12.9951	-2.279	0
13.9932	-1.68767	0
14.994	1.66033	0
15.9941	-1.44133	0
17.004	-3.88891	0
18.025	-0.513077	0
19.0244	2.92917	0
20.0262	-1.1088	0
20.9922	-0.849513	0
21.9957	0.900052	0
22.994	3.17454	0
23.995	-3.53392	0
24.9948	0.195685	0
25.9982	2.34516	0
26.9895	3.42723	0
27.9912	-1.03946	0
28.9966	3.90796	0
29.9917	-1.23698	0
30.9952	-3.91406	0
31.9992	-2.48994	0
32.9906	-0.116337	0
33.9889	0.354137	0
34.9905	1.5866	0
35.9875	-2.29707	0
36.9966	-1.32609	0
38.0381	1.51531	0
38.994	2.58541	0
39.9892	-1.97308	0
40.9953	1.44646	0
41.9948	-3.14304	0
42.9957	0.910306	0
43.9996	0.0167241	0
45.007	2.53658	0
45.9932	2.54878	0
47.0215	2.52681	0
47.9973	2.35835	0
48.9927	0.140507	0
50.003	-2.75948	0
50.991	3.76904	0
51.9973	-0.805567	0
53.0015	2.39766	0
53.9906	-3.18503	0
54.9914	0.0867949	0
55.9976	-1.11783	0
56.9996	-3.88623	0
58.0139	1.21647	0
59.0337	2.55831	0
60.0138	3.45628	0
60.999	1.37785	0
61.9964	3.60717	0
63.0356	3.41893	0
63.996	-2.95676	0
64.9977	3.31297	0
65.9999	0.103153	0
67.0025	3.85449	0
67.9937	3.48045	0
69.0007	-3.77538	0
70.0004	-1.66131	0
71.012	-2.68917	0
72.0309	-2.61422	0
73.0027	3.38719	0
74.0054	3.10691	0
75.0004	-2.43013	0
76.0106	0.934233	0
76.997	3.71801	0
78.0014	1.32878	0
79.0006	-3.16013	0
80.0073	-1.41691	0
80.9939	-3.40306	0
81.9961	-3.39744	0
82.9968	-0.888333	0
83.9949	2.00507	0
85.0247	0.0750756	0
86.0108	3.57909	0
87.0055	-1.96966	0
87.9992	1.46989	0
89.0047	-2.27998	0
90.0389	-3.5847	0
91.0395	-3.46556	0
91.995	-0.0672629	0
93.0024	-2.64132	0
94.0076	1.55803	0
94.9974	1.50822	0
95.9952	2.07343	0
97.0024	0.955718	0
98.0136	1.10221	0
99.0178	2.70016	0
100.161	2.53975	0
101.251	0.882962	0
102.061	-3.01901	0
103.028	-2.84152	0
104.006	-2.35591	0
105	1.83294	0
105.997	-1.76775	0
107.01	-3.56883	0
107.996	0.762841	0
109.005	-0.381726	0
110.008	1.59197	0
110.999	-2.21821	0
112.01	-2.31196	0
113.005	-3.88403	0
114.005	-0.331187	0
115	0.66982	0
116.01	-1.81561	0
116.996	-2.40107	0
118.006	-1.05606	0
119.006	1.74944	0
120.005	-0.00305176	0
121.005	3.71117	0
122.005	1.85052	0
123.01	1.63103	0
123.999	-2.43648	0
125.022	-1.67058	0
126.005	-0.819239	0
127.007	-3.33982	0
127.999	3.67992	0
129.007	-2.42842	0
130.008	-0.927885	0
131.01	-3.03854	0
131.999	0.367321	0
133.007	-1.81048	0
134.007	2.81906	0
135.005	3.99756	0
136.007	3.19456	0
137	1.60588	0
138.016	1.76653	0
139.059	-3.10569	0
140.011	3.30198	0
141.004	-3.15867	0
142.01	1.528	0
143.009	-3.21653	0
144.008	3.37889	0
145.001	-2.41841	0
146.008	3.78515	0
147.012	2.40645	0
148.001	-0.155889	0
149.013	0.635884	0
150.003	-0.0885036	0
151.012	2.23798	0
152.013	-0.518937	0
153.039	1.03409	0
154.007	2.67965	0
155.005	0.373425	0
156.002	2.77291	0
157.01	3.01828	0
158.009	2.28999	0
159.01	-2.56807	0
160.014	2.19306	0
161.003	2.17084	0
162.008	0.983551	0
163.012	-0.273324	0
164.013	-0.300668	0
165.022	-2.06464	0
166.01	-3.52049	0
167.01	-2.05341	0
168.007	3.67943	0
169.012	3.77856	0
170.05	-3.50755	0
171.018	-3.39036	0
172.001	1.59978	0
173.01	2.24067	0
174.009	-1.42399	0
175.012	3.52709	0
176.006	-3.39036	0
177.013	-3.87109	0
178.012	1.5468	0
